LAName,LACode,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Wyre,E07000128,North West,20.8,19.7,8.6,9,9.3,9.82,10.8,10.9,11.1,12
Amber Valley,E07000032,East Midlands,19.1,19.4,13.2,10.3,10.1,12.58,12.4,8.8,10.5,13.96
Ashfield,E07000170,East Midlands,19.3,18.1,12.5,9.5,9.3,11.86,11.8,9.3,10.6,15.21
Barking and Dagenham,E09000002,London,13.5,10.3,10.1,11.1,10.6,10.03,11.6,13.2,12.3,22.47
Bassetlaw,E07000171,East Midlands,19.7,19.8,12.7,9.7,10.4,11.6,11.4,9.1,11.3,14.93
Bolsover,E07000033,East Midlands,20.6,19.7,12.4,9.8,9.9,11.62,11.7,9.3,10.8,16.24
Bolton,E08000001,North West,19.7,16.3,11.4,11,10.5,12.48,12.9,13.5,11.9,14.76
Bury,E08000002,North West,19.1,16.4,10.3,10.1,10.4,11.21,11.6,11.7,10.6,13.35
Calderdale,E08000033,Yorkshire and the Humber,19.5,18.8,11.6,11.7,12.2,13.55,12.2,10.7,10.2,16.7
Cambridge,E07000008,East of England,16.2,14.5,13.2,12.1,11.3,10.7,11.5,12.3,11.1,14.92
Camden,E09000007,London,10.1,8.9,8.8,9.9,13.1,9.93,8.9,11.7,11.9,13.72
Carlisle,E07000028,North West,22.2,19.6,10.9,10.1,11.9,12.25,12.3,12.1,12,14.72
Chesterfield,E07000034,East Midlands,20,19,13,10,9.6,12.25,11.9,9.4,10.4,14.91
Copeland,E07000029,North West,22,19.1,10.5,9.8,11.2,10.9,12.1,11.7,13.6,15.71
Derby,E07000151,East Midlands,18.9,18.9,10.6,8.5,10.6,10.61,9.6,7.4,10.2,15.58
Dover,E08000017,South East,15.3,13.3,10,9.8,11.6,11.32,12.1,10.8,9.6,9.9
Durham UA,E08000027,North East,21.9,19.5,14.3,12.8,10.4,11.84,13.3,11.7,10.6,15.52
Ealing,E09000009,London,10.9,9.3,10.8,11,11.2,11.37,10.5,13.6,12.6,14.84
Enfield,E09000010,London,12,10,8.8,10.6,10.6,9.29,11.3,12.6,12.7,16.39
Erewash,E07000036,East Midlands,17.5,17.1,12.6,10.4,9.4,13,12.3,9.2,10.3,13.31
Exeter,E07000041,South West,13,12.5,10.7,13.1,12.3,11.52,11.6,12.4,10.4,11.86
Great Yarmouth,E07000145,East of England,20.7,17.6,10.7,11.3,10.5,9.83,12.8,13.2,12.7,16.39
Hackney,E09000012,London,10.5,8.6,8.1,9.4,10.5,9.82,10.2,11.9,12.2,16.47
Halton,E06000006,North West,18.1,14.9,9.2,9.2,9.7,10.77,12.8,11.8,10.9,14.03
Hammersmith and Fulham,E09000013,London,10.7,8.9,9.2,10.3,13.6,10.66,8.4,11.7,11.3,14.16
