"","LAName","LACode","English region","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","x2010","x2011","x2012","x2013","x2014","x2015","x2016","x2017","x2018","x2019","clustering4","clustering5","clustering6","clustering7","clustering8"
"102","Broadland","E07000144","East of England",0.16,0.15,6.7,7.1,7.2,6.57,8.9,8.8,9.5,11.39,5,5,1,1,2,1,3,3,4,4,2,2,3,3,3
"103","Hinckley and Bosworth","E07000132","East Midlands",0.15,0.16,10.7,8.6,8.6,11.21,10.1,7.6,9,11.43,5,6,6,4,3,6,5,1,4,4,4,4,5,5,5
"104","Castle Point","E07000069","East of England",0.17,0.14,6.6,7.6,6.4,5.64,9.3,10,9,11.44,6,5,1,2,1,1,3,5,4,4,2,2,3,3,3
"105","Cornwall UA","E06000052","South West",0.19,0.19,11.4,14.4,14.9,14.15,12.8,13.2,12.6,11.47,7,8,7,10,10,10,9,9,9,4,3,3,4,4,4
"106","West Devon","E07000047","South West",0.21,0.22,11.6,13.8,15.2,14.39,11.7,12.6,12.3,11.48,9,10,8,10,10,10,7,9,9,4,3,3,4,4,4
"107","Gedling","E07000173","East Midlands",0.16,0.17,11,9.1,8.7,11.43,11,8.3,9.4,11.49,5,7,7,4,3,6,6,3,4,4,4,4,5,5,5
"108","Mid Devon","E07000042","South West",0.19,0.19,10.5,12.8,14.4,13.63,11,11.2,11,11.54,7,8,6,9,10,9,6,7,7,4,3,5,6,7,7
"109","North Devon","E07000043","South West",0.19,0.19,11,13.6,13.9,13.13,11.6,12.6,11.7,11.54,7,9,7,10,10,9,7,9,8,4,3,3,4,4,4
"110","Warrington","E06000007","North West",0.17,0.14,8.3,8,8.4,9.83,10.1,9.8,9.1,11.57,6,5,3,3,3,4,5,5,4,4,2,2,3,3,3
"111","Central Bedfordshire UA","E06000056","East of England",0.13,0.11,7.2,7.7,7.3,6.67,8,8.4,8.4,11.58,4,3,2,2,2,1,2,3,3,4,2,2,2,2,2
"112","Bromsgrove","E07000234","West Midlands",0.18,0.14,10.9,9.8,9.1,10.58,10,9,8.4,11.67,6,5,7,6,4,5,4,4,3,4,4,4,5,5,5
"113","Ribble Valley","E07000124","North West",0.2,0.2,9.8,9.4,11.6,10.63,10,10.2,11.1,11.7,8,9,5,5,8,5,4,6,8,4,4,4,5,5,5
"114","Isles of Scilly UA","E06000053","South West",0.24,0.22,19.7,22.4,20.4,19.41,15.5,12.5,20.9,11.74,10,10,10,10,10,10,10,9,10,4,3,3,4,4,8
"115","Rutland","E06000017","East Midlands",0.16,0.18,11.9,9.3,10.6,11.33,10.3,8,10.9,11.74,5,8,8,5,6,6,5,2,7,4,4,4,5,5,5
"116","South Derbyshire","E07000039","East Midlands",0.16,0.16,11,9,9.1,11.29,10.5,7.9,9.8,11.77,5,6,7,4,4,6,5,2,5,4,4,4,5,5,5
"117","Basildon","E07000066","East of England",0.13,0.1,6.1,7,6.3,5.66,7.8,8.4,7.8,11.82,4,2,1,1,1,1,1,3,2,4,1,1,1,1,1
"118","Torridge","E07000046","South West",0.22,0.21,11.4,14,15,14.18,12.4,13.2,12.6,11.82,9,10,7,10,10,10,8,9,9,4,3,3,4,4,4
"119","Charnwood","E07000130","East Midlands",0.16,0.16,12.6,9.7,8.9,12.51,10.8,8.8,10.1,11.83,5,6,9,5,4,8,6,3,6,4,4,4,5,6,6
"120","Exeter","E07000041","South West",0.13,0.13,10.7,13.1,12.3,11.52,11.6,12.4,10.4,11.86,4,4,6,9,9,7,7,9,6,4,3,5,6,7,7
"121","Chorley","E07000118","North West",0.17,0.15,8.2,8.2,8.7,9.81,10.6,9.8,10,11.87,6,5,3,3,3,4,5,5,6,4,2,2,3,3,3
"122","Bromley","E09000006","London",0.11,0.1,7.1,7.6,8.5,6.91,8.1,9.1,8.6,11.89,2,3,2,2,3,1,2,4,3,4,2,2,2,2,2
"123","Uttlesford","E07000077","East of England",0.17,0.17,9.4,8.5,9.7,8.96,8.8,9.3,9.3,11.89,6,7,5,4,5,3,3,4,4,4,4,4,5,5,5
"124","North Kesteven","E07000139","East Midlands",0.16,0.18,9.8,7.7,9.1,10.28,10.5,7.3,10.4,11.91,5,8,5,2,4,5,5,1,6,4,4,4,5,5,5
"125","South Lakeland","E07000031","North West",0.23,0.23,11.6,10.1,11.9,10.15,10.5,10.9,12.5,11.95,10,10,8,6,8,5,5,7,9,5,3,5,6,7,7
"126","Cheshire West and Chester UA and Chester UA","E06000050","North West",0.18,0.16,9.4,8.9,10,10.14,11.3,10.9,10.6,11.96,6,6,5,4,5,5,7,7,7,5,4,4,5,5,5
"127","Wyre","E07000128","North West",0.21,0.2,8.6,9,9.3,9.82,10.8,10.9,11.1,12,9,9,4,4,4,4,6,7,8,5,4,4,5,5,5
"128","Welwyn Hatfield","E07000241","East of England",0.14,0.11,8.7,8.6,8,7.38,9.2,9.9,8.3,12.01,4,3,4,4,2,1,3,5,3,5,2,2,2,2,2
"129","Stevenage","E07000243","East of England",0.12,0.09,6.3,7.3,7.1,6.43,7.7,8,7.4,12.04,3,1,1,2,1,1,1,2,2,5,1,1,1,1,1
"130","North Hertfordshire","E07000099","East of England",0.14,0.12,8.4,8.2,8,7.34,8.5,8.8,7.8,12.11,4,4,4,3,2,1,3,3,2,5,2,2,2,2,2
"131","South Kesteven","E07000141","East Midlands",0.16,0.17,11.4,8.9,10.3,11.61,10.6,8.2,10,12.12,5,7,8,4,6,7,5,2,6,5,4,4,5,5,5
"132","Maldon","E07000074","East of England",0.15,0.14,7.9,8.3,9.1,8.47,9,9,10.7,12.13,5,5,3,3,4,3,3,4,7,5,2,2,3,3,3
"133","Stockport","E08000007","North West",0.19,0.17,9.7,9.2,9.8,10.24,10.7,10.7,9.8,12.15,7,7,5,5,5,5,6,6,5,5,4,4,5,5,5
"134","Broxtowe","E07000172","East Midlands",0.17,0.17,12,9.7,9.1,11.9,11.8,8.6,9.6,12.35,6,7,8,5,4,7,7,3,5,5,4,4,5,5,5
"135","Plymouth","E06000026","South West",0.14,0.13,10.3,13.4,12.8,12.03,11.8,13,10.3,12.35,4,4,6,10,9,7,7,9,6,5,3,5,6,7,7
"136","Kingston upon Thames","E09000021","London",0.1,0.09,8.9,9.4,10,9.37,9.3,10.9,10.4,12.39,1,2,4,5,5,4,4,7,6,5,2,2,3,3,3
"137","South Staffordshire","E07000196","West Midlands",0.18,0.14,10.5,9.9,9.2,10.73,10.4,9.2,9.2,12.43,6,5,6,6,4,5,5,4,4,5,4,4,5,5,5
"138","Melton","E07000133","East Midlands",0.17,0.18,12.3,9.5,11,12.82,11,8.3,10.6,12.46,6,8,9,5,7,9,6,3,7,5,4,4,5,6,6
"139","Solihull","E08000029","West Midlands",0.18,0.14,10.7,10.1,9.1,10.57,9.8,9.2,8.2,12.48,6,5,6,6,4,5,4,4,3,5,4,4,5,5,5
"140","East Northamptonshire","E07000152","East Midlands",0.15,0.16,11,8.8,9.6,11.66,10.3,7.8,9.9,12.52,5,6,7,4,5,7,5,2,5,5,4,4,5,5,5
"141","Lichfield","E07000194","West Midlands",0.17,0.14,10.9,9.8,9.5,10.95,10.8,9.4,9.1,12.52,6,5,7,6,5,6,6,5,4,5,4,4,5,5,5
"142","Northampton","E07000154","East Midlands",0.16,0.15,11.8,10.3,9.4,12.88,10.8,8.5,8.7,12.57,5,5,8,7,4,9,6,3,3,5,4,4,5,6,6
"143","Forest of Dean","E07000080","South West",0.19,0.18,9.5,11.6,14.1,13.32,10.8,10.9,11.7,12.74,7,8,5,8,10,9,6,7,8,5,4,4,5,6,6
"144","Trafford","E08000009","North West",0.19,0.17,11.1,10,10.4,9.88,11.1,11.4,10.4,12.79,7,7,7,6,6,4,6,7,6,5,4,4,5,5,5
"145","Colchester","E07000071","East of England",0.14,0.13,8.3,8.4,7.8,7.12,9.5,10.1,9.4,12.8,4,4,3,3,2,1,4,5,4,5,2,2,2,2,2
"146","Kettering","E07000153","East Midlands",0.17,0.17,11.9,9.5,9.4,12.43,10.8,8.5,9.5,12.82,6,7,8,5,4,8,6,3,4,5,4,4,5,5,5
"147","Bexley","E09000004","London",0.12,0.1,7.6,8.2,8.5,7.64,8.2,9.8,9,12.84,3,3,3,3,3,2,2,5,4,5,2,2,2,2,2
"148","North West Leicestershire","E07000134","East Midlands",0.17,0.17,11.5,9,10,11.31,10.7,7.9,9.8,12.84,6,7,8,4,5,6,6,2,5,5,4,4,5,5,5
"149","Kensington and Chelsea","E09000020","London",0.1,0.1,8.8,10.7,14.3,8.72,8.7,11.7,12.4,12.86,1,3,4,7,10,3,3,8,9,5,2,2,3,3,3
"150","Sutton","E09000029","London",0.1,0.09,7.4,7.7,8.1,7.53,8.6,9.1,8.4,12.86,1,2,2,2,3,2,3,4,3,5,2,2,3,3,3
"151","Harrogate","E07000165","Yorkshire and the Humber",0.17,0.18,9.1,8.6,11.7,10.39,9.4,8.2,8.3,12.87,6,8,4,4,8,5,4,2,3,5,4,4,5,5,5
"152","North Tyneside","E08000022","North East",0.19,0.17,9.7,9.9,9.9,11.13,11.2,9.3,7.6,12.91,7,7,5,6,5,6,7,4,2,5,4,4,5,5,5
"153","Stockton-on-Tees","E06000004","North East",0.18,0.17,10.3,11.1,10.7,12.34,13.4,11.3,9,12.97,6,7,6,8,7,8,9,7,4,5,3,5,6,7,7
"154","Warwick","E07000222","West Midlands",0.17,0.14,11.6,11.1,10.8,12.34,10.8,10,8.6,13.02,6,5,8,8,7,8,6,5,3,5,4,4,5,6,6
"155","Braintree","E07000067","East of England",0.15,0.13,8.1,8.2,8.4,7.71,8.8,9,9.3,13.07,5,4,3,3,3,2,3,4,4,5,2,2,3,3,3
"156","West Lancashire","E07000127","North West",0.19,0.17,9,8.6,10,9.81,11,10.7,11.5,13.12,7,7,4,4,5,4,6,6,8,6,4,4,5,5,5
"157","High Peak","E07000037","East Midlands",0.18,0.19,13.3,10.5,10.5,12.42,10.6,8.5,10.5,13.14,6,9,9,7,6,8,5,3,6,6,3,5,6,7,7
"158","Wandsworth","E09000032","London",0.09,0.07,7,8.3,10.7,9.84,7.2,9.8,10.1,13.15,1,1,2,3,7,4,1,5,6,6,2,2,3,3,3
"159","Havering","E09000016","London",0.13,0.1,6.9,7.5,8.4,7.81,8,9.9,9,13.16,4,3,2,2,3,2,2,5,4,6,2,2,2,2,2
"160","Selby","E07000169","Yorkshire and the Humber",0.15,0.15,7,6.9,9.4,9.17,8.8,7.1,8.3,13.19,5,5,2,1,4,3,3,1,3,6,2,2,2,2,2
"161","Wellingborough","E07000156","East Midlands",0.16,0.16,11.8,10.1,9.7,12.73,11.1,8.6,9.8,13.2,5,6,8,6,5,8,6,3,5,6,4,4,5,6,6
"162","Barnet","E09000003","London",0.11,0.11,9.7,9.7,10.1,9.2,9.7,12.4,11.8,13.23,2,3,5,5,5,3,4,9,9,6,2,2,3,3,3
"163","South Norfolk","E07000149","East of England",0.19,0.18,8.4,8.1,10,9.27,9.5,9.4,10.6,13.26,7,8,4,3,5,3,4,5,7,6,4,4,5,5,5
