,LACode,LAName,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,Cluster_5,geography,UnpaidCare_person_per,LimitedAlot_person_per,NoCentralHeating_per_hh,HouseholdSize_hh,AverageRooms_hh,SocialRent_hh_per,PrivateRent_hh_per,Ethnicity_per,Deprivation_hh_per
115,E07000095,Broxbourne,East of England,12.9,10.2,6.3,7.5,6.6,5.99,7.4,8.1,7.5,10.56,3,3,1,2,1,1,1,2,2,3,2,Broxbourne,9.690307556,6.832676345,2.055340167,2.5,5.2,14.0660683,11.15035318,9.698853743,4.947155983
89,E07000069,Castle Point,East of England,16.8,14.3,6.6,7.6,6.4,5.64,9.3,10,9,11.44,6,5,1,2,1,1,3,5,4,4,2,Castle Point,11.24518526,9.084091761,1.706915477,2.4,5.5,5.348518112,10.88913282,3.110974765,4.445664105
52,E06000056,Central Bedfordshire UA,East of England,12.6,10.9,7.2,7.7,7.3,6.67,8,8.4,8.4,11.58,3,3,2,2,2,1,2,3,3,4,2,Central Bedfordshire,10.1560258,6.079463482,1.682966312,2.4,5.7,13.39189073,12.08057548,6.155727039,3.088152185
90,E07000070,Chelmsford,East of England,13,11.5,7.2,7.4,6.9,6.17,7.9,8.1,7.9,10.59,3,3,2,2,1,1,2,2,2,3,2,Chelmsford,9.951874517,6.05192799,2.157405945,2.4,5.7,13.09084646,11.98415319,6.135701978,3.292807211
98,E07000078,Cheltenham,South West,13.4,13,8.9,11,11.4,10.6,9.6,10.4,8.1,11,4,4,4,8,8,5,4,6,2,4,2,Cheltenham,9.101199323,6.551342757,2.982583597,2.2,5.4,12.22682558,21.45143239,5.74430581,3.834750339
223,E07000225,Chichester,South East,14.7,14.3,8.7,8.3,9.5,9.34,9.3,9.3,9.5,7.54,4,5,4,3,4,4,3,4,4,2,2,Chichester,10.97333779,7.318487794,2.607928101,2.2,5.9,14.85917188,14.89126946,3.051127476,3.009147809
133,E07000118,Chorley,North West,16.8,14.8,8.2,8.2,8.7,9.81,10.6,9.8,10,11.87,6,5,3,3,3,4,5,5,5,4,2,Chorley,11.49549718,8.983248565,2.682606469,2.3,5.7,13.00785859,10.21171442,3.100181979,4.579353948
91,E07000071,Colchester,East of England,14.3,12.8,8.3,8.4,7.8,7.12,9.5,10.1,9.4,12.8,4,4,3,3,2,1,4,5,4,5,2,Colchester,9.573939471,7.014918474,1.80919675,2.3,5.5,13.49778038,18.69224111,7.954978795,4.303822207
116,E07000096,Darlington,North East,20.7,19.2,7.5,7.8,7.3,6.69,8,8.4,7.4,13.98,9,9,2,3,2,1,2,3,2,7,2,Dacorum,10.26876635,6.337721872,1.561613667,2.4,5.6,21.76415629,11.85725249,9.189006331,3.655443959
123,E07000107,Daventry,East Midlands,13.9,15.6,7.1,7.5,7.2,8.68,8.2,7.7,6.8,11.23,4,6,2,2,2,3,2,2,1,4,2,Dartford,9.468494839,6.800184871,2.519897208,2.4,5.1,14.83745416,15.93024126,12.62774097,4.441006961
55,E07000009,East Cambridgeshire,East of England,13.7,12.5,7.2,7.3,8,7.35,8.5,8.3,9.9,13.66,4,4,2,2,2,1,2,2,5,6,2,East Cambridgeshire,9.889283925,6.469970651,1.727624661,2.4,5.9,14.283238,13.22008436,3.752177337,2.9872306
236,E07000242,East Hertfordshire,East of England,12.7,11.7,7.5,7.3,7.5,6.9,7.6,7.8,7.3,10.4,3,4,2,2,2,1,1,2,2,3,2,East Hertfordshire,9.295721455,5.345457451,1.758665182,2.4,5.8,12.69950687,13.16082507,4.525481709,2.755536702
81,E07000061,Eastbourne,South East,12.5,11.1,7.9,8.5,8.6,9.52,9.4,9.7,8.5,8.47,3,3,3,3,3,4,4,5,3,2,2,Eastbourne,10.58021164,9.678912003,2.919221541,2.2,5,13.22536213,23.31378299,5.938920855,5.929529903
92,E07000072,Epping Forest,East of England,15.8,13.6,8.2,8.3,7.8,7.15,8.1,9,8.2,11.26,5,5,3,3,2,1,2,4,2,4,2,Epping Forest,10.27523083,7.084125494,1.865707526,2.4,5.6,15.00836683,11.04421919,9.457800881,4.050701083
56,E07000010,Fenland,East of England,19.2,16,8.2,7.9,7.5,6.96,10.8,10.1,10.8,15.81,7,6,3,3,2,1,6,5,7,9,2,Fenland,11.12090865,9.947303227,2.023633678,2.3,5.6,12.44214673,15.61053668,2.761856774,5.741014279
134,E07000119,Fylde,North West,18,17.7,8.1,8.1,8.8,8.54,9.7,10.2,9.7,11.19,6,8,3,3,3,3,4,6,5,4,2,Fylde,12.12693216,10.36075874,2.479575749,2.1,5.7,7.473125985,17.38856242,2.525179191,4.133581769
101,E07000081,Gloucester,South West,13.5,12.2,8.8,10.7,9.6,8.8,9.4,10.3,7.9,10.42,4,4,4,7,5,3,4,6,2,3,2,Gloucester,9.963184538,7.630168957,3.272243512,2.4,5.4,13.33121538,17.38379366,10.86877917,5.214145305
207,E07000209,Guildford,South East,10.9,10.1,8,7.8,8,8.96,9.1,8.5,7.1,6.86,2,2,3,3,2,3,3,3,1,2,2,Guildford,9.16731665,5.172652588,1.686028199,2.4,5.8,12.79899209,15.78937617,9.09442132,2.71802568
146,E07000131,Harborough,East Midlands,14.9,17.1,10.6,7.9,8.4,9.9,8.8,6.9,8.9,9.67,5,7,6,3,3,4,3,1,3,3,2,Harborough,10.52095289,5.912253168,1.406957419,2.4,6.3,8.375838157,11.23846639,4.762127849,2.080348444
93,E07000073,Harlow,East of England,13.2,9,6.4,7.3,7.1,6.44,7.9,8.1,7.5,13.33,4,2,1,2,1,1,2,2,2,6,2,Harlow,9.837205897,7.829737382,1.031195841,2.4,4.9,31.21894858,10.8492201,10.91599141,5.748122473
289,E09000016,Havering,London,12.5,10.1,6.9,7.5,8.4,7.81,8,9.9,9,13.16,3,3,2,2,3,2,2,5,4,6,2,Havering,10.62841438,8.205469751,2.002078211,2.4,5.3,14.19664811,10.63488307,12.343613,4.80766263
117,E07000098,Hertsmere,East of England,13.6,12.3,8,8.2,7.3,6.69,8.5,9,7.6,10.57,4,4,3,3,2,1,3,4,2,3,2,Hertsmere,9.851945897,6.752906599,1.463120318,2.5,5.4,17.42671829,12.52199708,14.96336136,3.793554226
83,E07000063,Lewes,South East,13.3,12.2,7.2,7.7,8.2,8.48,8.8,8.8,8,7.07,4,4,2,2,3,3,3,3,2,2,2,Lewes,11.79565547,8.688026912,2.278276949,2.3,5.5,10.92672056,14.48045328,3.428647617,4.046845736
126,E07000110,Maidstone,South East,12.5,10.8,7.9,7.8,8.1,9.69,8.8,8.5,8,7.74,3,3,3,3,2,4,3,3,2,2,2,Maidstone,10.03010126,6.871080229,2.211294466,2.4,5.6,12.71297303,14.58855423,5.895850925,3.921383202
94,E07000074,Maldon,East of England,15.3,14.3,7.9,8.3,9.1,8.47,9,9,10.7,12.13,5,5,3,3,4,3,3,4,7,5,2,Maldon,11.61952977,7.629525061,2.43637913,2.4,6.1,10.40012395,9.656427935,1.947135277,3.823062323
