LAName,LACode,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Northumberland,E06000057,North East,0.23,0.21,11.8,11.4,13.3,13.08,12.8,11.1,9.8,14.12
St. Helens,E08000013,North West,0.2,0.17,10.1,9.7,10.3,10.9,12.7,12.4,11.3,14.15
Hammersmith and Fulham,E09000013,London,0.11,0.09,9.2,10.3,13.6,10.66,8.4,11.7,11.3,14.16
Hambleton,E07000164,Yorkshire and the Humber,0.19,0.21,9.1,8.6,13.2,10.66,9.4,8.3,9.5,14.17
Tower Hamlets,E09000030,London,0.08,0.06,7.3,7.6,8.1,10.56,9.2,11.2,9.5,14.19
Wigan,E08000010,North West,0.2,0.16,9.4,9.1,9.9,10.94,12.2,11.9,10.8,14.22
Barrow-in-Furness,E07000027,North West,0.21,0.19,13.1,14.4,12.3,13.49,15.3,15.1,14.4,14.27
Stafford,E07000197,West Midlands,0.2,0.16,12.4,11.2,11,12.5,11.5,10.1,9.9,14.27
Eden,E07000030,North West,0.29,0.28,13,11.4,16.4,12.78,11.2,11.9,14.7,14.29
South Holland,E07000140,East Midlands,0.2,0.19,10.5,7.9,8.9,11.63,11.8,7.7,11.6,14.31
Tamworth,E07000199,West Midlands,0.16,0.11,10.1,10.1,9.3,10.76,11.1,9.7,8.8,14.4
West Lindsey,E07000142,East Midlands,0.2,0.22,12.8,9.9,11,12.74,12.2,9.3,12.8,14.4
Redcar and Cleveland,E06000003,North East,0.21,0.19,11.4,12.1,11.8,12.76,14.3,12.1,10.3,14.42
Harrow,E09000015,London,0.11,0.1,11.7,11.3,10.3,11.78,11.8,13.6,11.7,14.48
Lancaster,E07000121,North West,0.21,0.2,12,11.6,11.8,12.76,13,13.6,13.8,14.51
Redditch,E07000236,West Midlands,0.17,0.12,10.4,9.7,9,10.46,10.6,9.3,8.3,14.59
Southwark,E09000028,London,0.09,0.07,6.4,8,8.9,8.75,8.8,9.1,9.9,14.64
Rugby,E07000220,West Midlands,0.2,0.16,12.4,10.9,10.4,11.82,11.1,10.3,9.2,14.65
Tameside,E08000008,North West,0.2,0.16,10.4,9.8,10.2,11.89,11.8,11.8,10.7,14.66
Merton,E09000024,London,0.1,0.08,8.6,9.9,10.6,10.16,9.4,11.1,11.2,14.7
Carlisle,E07000028,North West,0.22,0.2,10.9,10.1,11.9,12.25,12.3,12.1,12,14.72
South Tyneside,E08000023,North East,0.21,0.18,11,11.3,11.8,12.27,13.2,11.2,8.7,14.74
Hartlepool,E06000001,North East,0.2,0.19,11.6,12.2,11.8,12.83,14.7,12.6,10.1,14.75
Bolton,E08000001,North West,0.2,0.16,11.4,11,10.5,12.48,12.9,13.5,11.9,14.76
Islington,E09000019,London,0.1,0.08,7.4,8.6,11.1,9.76,8.4,10.4,11,14.76
Southend-on-Sea,E06000033,East of England,0.19,0.17,9.2,9.8,9,8.36,10.1,11.4,9.3,14.78
Ealing,E09000009,London,0.11,0.09,10.8,11,11.2,11.37,10.5,13.6,12.6,14.84
Rossendale,E07000125,North West,0.21,0.18,10.7,10.3,11.1,12.18,12.2,12.1,11.3,14.84
Chesterfield,E07000034,East Midlands,0.2,0.19,13,10,9.6,12.25,11.9,9.4,10.4,14.91
Cambridge,E07000008,East of England,0.16,0.15,13.2,12.1,11.3,10.7,11.5,12.3,11.1,14.92
Bassetlaw,E07000171,East Midlands,0.2,0.2,12.7,9.7,10.4,11.6,11.4,9.1,11.3,14.93
Breckland,E07000143,East of England,0.2,0.17,8.5,8.5,10.2,9.52,10.3,10,11.3,15.07
